iter	Passed	Remaining
0	142	142759
1	144	71857
2	145	48193
3	145	36331
4	146	29222
5	147	24493
6	148	21082
7	149	18508
8	149	16491
9	150	14885
10	151	13586
11	152	12519
12	152	11608
13	153	10813
14	154	10128
15	154	9531
16	155	8999
17	156	8527
18	156	8104
19	157	7728
20	158	7388
21	159	7069
22	159	6781
23	160	6516
24	161	6279
25	161	6058
26	162	5853
27	163	5658
28	163	5481
29	164	5310
30	164	5148
31	165	4996
32	165	4851
33	166	4716
34	166	4589
35	166	4469
36	167	4354
37	167	4245
38	168	4142
39	168	4045
40	168	3952
41	169	3863
42	169	3778
43	170	3697
44	170	3619
45	170	3545
46	171	3474
47	171	3406
48	172	3341
49	172	3279
50	173	3219
51	173	3161
52	173	3105
53	174	3052
54	174	3001
55	175	2951
56	175	2902
57	175	2856
58	176	2811
59	176	2767
60	177	2725
61	177	2684
62	177	2645
63	178	2607
64	178	2571
65	179	2535
66	179	2500
67	179	2463
68	180	2430
69	180	2399
70	181	2369
71	181	2339
72	181	2310
73	182	2281
74	182	2254
75	183	2227
76	183	2200
77	183	2174
78	184	2149
79	184	2124
80	185	2100
81	185	2077
82	185	2054
83	186	2032
84	186	2008
85	187	1988
86	187	1965
87	187	1946
88	188	1926
89	188	1906
90	188	1887
91	189	1869
92	189	1850
93	190	1832
94	190	1815
95	190	1798
96	191	1781
97	191	1765
98	192	1749
99	192	1733
100	193	1718
101	193	1701
102	193	1686
103	194	1672
104	194	1657
105	194	1643
106	195	1629
107	195	1616
108	196	1603
109	196	1589
110	196	1577
111	197	1564
112	197	1551
113	198	1539
114	198	1527
115	198	1514
116	199	1503
117	199	1492
118	200	1481
119	200	1470
120	200	1459
121	201	1448
122	201	1436
123	201	1426
124	202	1416
125	202	1406
126	203	1396
127	203	1385
128	203	1375
129	204	1366
130	204	1357
131	205	1348
132	205	1339
133	205	1330
134	206	1321
135	206	1312
136	207	1304
137	207	1295
138	207	1287
139	208	1279
140	208	1270
141	209	1262
142	209	1255
143	209	1247
144	210	1239
145	210	1232
146	211	1224
147	211	1217
148	211	1210
149	212	1203
150	212	1195
151	213	1188
152	213	1182
153	213	1175
154	214	1168
155	214	1161
156	215	1155
157	215	1148
158	215	1142
159	216	1136
160	216	1130
161	217	1123
162	217	1117
163	218	1111
164	218	1105
165	218	1100
166	219	1094
167	219	1088
168	220	1082
169	220	1076
170	220	1071
171	221	1065
172	221	1060
173	222	1054
174	222	1049
175	223	1044
176	223	1038
177	223	1033
178	224	1028
179	224	1023
180	224	1017
181	225	1011
182	225	1006
183	225	1002
184	226	997
185	226	992
186	227	987
187	227	982
188	227	978
189	228	973
190	228	968
191	229	964
192	229	959
193	229	955
194	230	950
195	230	946
196	231	942
197	231	937
198	231	933
199	232	929
200	232	924
201	233	920
202	233	916
203	233	912
204	234	908
205	234	904
206	235	900
207	235	896
208	235	892
209	236	889
210	236	885
211	237	882
212	237	878
213	238	874
214	238	870
215	238	867
216	239	863
217	239	860
218	240	856
219	240	852
220	240	849
221	241	845
222	241	842
223	242	839
224	242	835
225	243	832
226	243	828
227	244	826
228	244	823
229	244	819
230	245	816
231	245	813
232	246	810
233	246	807
234	246	803
235	247	800
236	247	797
237	248	794
238	248	791
239	248	788
240	249	785
241	249	782
242	250	779
243	250	776
244	250	773
245	251	770
246	251	767
247	252	764
248	252	761
249	252	758
250	253	756
251	253	753
252	254	750
253	254	747
254	255	745
255	255	742
256	255	740
257	256	737
258	256	734
259	257	732
260	257	729
261	258	726
262	258	724
263	258	721
264	259	719
265	259	716
266	260	713
267	260	711
268	260	708
269	261	706
270	261	703
271	262	701
272	262	698
273	262	696
274	263	694
275	263	691
276	264	689
277	264	687
278	264	684
279	265	682
280	265	679
281	266	677
282	266	675
283	266	672
284	267	670
285	267	668
286	268	665
287	268	663
288	268	661
289	269	659
290	269	657
291	270	654
292	270	652
293	270	650
294	271	648
295	271	646
296	272	644
297	272	642
298	273	640
299	273	638
300	273	636
301	274	633
302	274	631
303	275	629
304	275	627
305	275	625
306	276	623
307	276	621
308	277	619
309	277	618
310	278	615
311	278	614
312	278	612
313	279	610
314	279	608
315	280	606
316	280	604
317	280	602
318	281	600
319	281	598
320	282	596
321	282	594
322	282	592
323	283	590
324	283	589
325	284	587
326	284	585
327	284	583
328	285	581
329	285	580
330	286	578
331	286	576
332	286	574
333	287	572
334	287	571
335	288	569
336	288	567
337	288	565
338	289	564
339	289	562
340	290	560
341	290	558
342	290	557
343	291	555
344	291	554
345	292	552
346	292	550
347	293	549
348	293	547
349	293	545
350	294	544
351	294	542
352	295	540
353	295	539
354	295	537
355	296	535
356	296	534
357	297	532
358	297	531
359	297	529
360	298	528
361	298	526
362	299	524
363	299	523
364	299	521
365	300	520
366	300	518
367	301	517
368	301	515
369	302	514
370	302	513
371	303	511
372	303	510
373	303	508
374	304	507
375	304	505
376	305	504
377	305	503
378	306	501
379	306	500
380	307	498
381	307	497
382	307	496
383	308	494
384	308	493
385	309	491
386	309	490
387	309	488
388	310	487
389	310	486
390	311	484
391	311	483
392	311	481
393	312	480
394	312	479
395	313	477
396	313	476
397	313	474
398	314	473
399	314	472
400	315	470
401	315	469
402	316	468
403	316	466
404	316	465
405	317	464
406	317	463
407	318	461
408	319	461
409	319	459
410	319	458
411	320	457
412	320	455
413	321	454
414	321	453
415	321	451
416	322	450
417	322	449
418	323	448
419	323	446
420	324	445
421	324	444
422	324	443
423	325	441
424	325	440
425	326	439
426	326	438
427	326	436
428	327	435
429	327	434
430	328	433
431	328	431
432	328	430
433	329	429
434	329	428
435	330	426
436	330	425
437	330	424
438	331	423
439	331	422
440	332	420
441	332	419
442	332	418
443	333	417
444	333	416
445	334	415
446	334	413
447	335	412
448	335	411
449	335	410
450	336	409
451	336	408
452	337	406
453	337	405
454	337	404
455	338	403
456	338	402
457	339	401
458	339	400
459	339	398
460	340	397
461	340	396
462	341	395
463	341	394
464	341	393
465	342	392
466	342	391
467	343	390
468	343	388
469	343	387
470	344	386
471	344	385
472	345	384
473	345	383
474	345	382
475	346	381
476	347	380
477	347	379
478	347	378
479	348	377
480	348	376
481	349	375
482	349	374
483	349	373
484	350	372
485	350	370
486	351	369
487	351	368
488	351	367
489	352	366
490	352	365
491	353	364
492	353	363
493	353	362
494	354	361
495	354	360
496	355	359
497	355	358
498	356	357
499	356	356
500	356	355
501	357	354
502	357	353
503	358	352
